Model,Accuracy,Precision,Recall,F1-Score,Training Time (s)
Naive Bayes,0.4909090909090909,0.4578889860139861,0.4909090909090909,0.35603066064975414,0.08773183822631836
KNN,0.6318181818181818,0.570649507918402,0.6318181818181818,0.5600750146010679,0.08466196060180664
Logistic Regression,0.6590909090909091,0.6277632982607254,0.6590909090909091,0.6350266208886898,1.3229162693023682
